glacier,cell,sed,Debri,,melt,z
27.5,Cell 49:,0,0,Hydro.49.out,0.003518305,5717.108109
27.5,Cell 53:,0,0,Hydro.53.out,0.042442084,5676.340709
27.5,Cell 54:,3.45,0.050966166,Hydro.54.out,43.69372291,5308.61467
27.5,Cell 55:,188.69,5.544005339,Hydro.55.out,1233.037763,4382.436719
27.5,Cell 56:,431.96,8.360523627,Hydro.56.out,2258.624578,3855.94317
27.5,Cell 57:,237.68,4.510972806,Hydro.57.out,1568.895602,4332.552992
27.5,Cell 58:,34.01,0,Hydro.58.out,416.4294224,5184.980874
27.5,Cell 59:,4.51,0,Hydro.59.out,69.74306017,5523.104455
27.5,Cell 60:,16.28,0.177806035,Hydro.60.out,198.9574309,5407.66511
27.5,Cell 63:,0,0,Hydro.63.out,0.213723943,5665.073338
27.5,Cell 64:,0,0,Hydro.64.out,0.016712438,5808.681111
27.5,Cell 65:,48.96,0.135730036,Hydro.65.out,491.5140911,5107.543301
27.5,Cell 66:,431.07,4.756105716,Hydro.66.out,2297.749754,4051.483284
27.5,Cell 67:,583.11,4.6672329,Hydro.67.out,2871.844961,3911.563014
27.5,Cell 68:,182.67,1.636404298,Hydro.68.out,1353.481595,4715.746059
27.5,Cell 69:,37.36,0,Hydro.69.out,436.207192,5313.121619
27.5,Cell 74:,0,0,Hydro.74.out,0.145827887,5825.377307
27.5,Cell 75:,16.57,0.198090065,Hydro.75.out,186.9130827,5550.248577
27.5,Cell 76:,238.48,1.609945981,Hydro.76.out,1526.899039,4616.593189
27.5,Cell 77:,518.24,2.664870271,Hydro.77.out,2625.848201,4127.998981
27.5,Cell 78:,230.94,0.983212485,Hydro.78.out,1562.594695,4672.725186
27.5,Cell 79:,46.09,0,Hydro.79.out,494.6636964,5295.093824
27.5,Cell 85:,14.37,0.910074195,Hydro.85.out,132.8138147,5690.783431
27.5,Cell 86:,123.82,0.630776905,Hydro.86.out,934.5249611,5077.735982
27.5,Cell 87:,328.4,0.673308865,Hydro.87.out,1896.593632,4559.334454
27.5,Cell 88:,221.47,0.511230149,Hydro.88.out,1477.83273,4777.921465
22.5,Cell 13:,1065.02,188.0170127,Hydro.13.out,2791.195835,3197.314081
22.5,Cell 14:,751.7,172.744599,Hydro.14.out,1795.335221,3815.07334
22.5,Cell 22:,42.75,11.7582097,Hydro.22.out,133.8273638,4786.320778
22.5,Cell 23:,359.7,68.17693803,Hydro.23.out,1153.493537,4069.613509
22.5,Cell 24:,458.07,72.40940566,Hydro.24.out,1543.98768,3945.877282
22.5,Cell 25:,201.09,46.57598808,Hydro.25.out,638.8012485,4683.685265
22.5,Cell 26:,16.41,5.011621097,Hydro.26.out,41.74266828,5310.663283
22.5,Cell 32:,0,0,Hydro.32.out,0.004686652,5455.397794
22.5,Cell 33:,42.69,6.661234607,Hydro.33.out,262.3068194,4705.298133
22.5,Cell 34:,294.43,30.89847829,Hydro.34.out,1337.811544,3962.573479
22.5,Cell 35:,268.72,27.02032076,Hydro.35.out,1298.479032,4028.84611
